time,high,low,open,close,volume
2022-02-18 23:00:00,2791.84,2769.85,2775.53,2780.72,35360945.1496
2022-02-19 00:00:00,2812.77,2768.78,2780.72,2811.94,44788489.2636
2022-02-19 01:00:00,2831.75,2808.68,2811.94,2822.19,64317201.465900004
2022-02-19 02:00:00,2825.21,2812.07,2822.19,2819.06,25045688.1848
2022-02-19 03:00:00,2828.27,2804.48,2819.06,2806.97,26468510.499199998
2022-02-19 04:00:00,2822.5,2797.49,2806.97,2817.22,30886664.7286
2022-02-19 05:00:00,2822.37,2802.69,2817.22,2810.63,19827967.0181
2022-02-19 06:00:00,2826.49,2805.74,2810.63,2821.38,28386367.434
2022-02-19 07:00:00,2825.67,2809.21,2821.38,2813.62,17533057.744400002
2022-02-19 08:00:00,2821.03,2782.1,2813.62,2784.3,28866734.271
2022-02-19 09:00:00,2793.28,2776.37,2784.3,2783.55,30471213.534999996
2022-02-19 10:00:00,2789.81,2763.19,2783.55,2779.94,47611143.157199994
2022-02-19 11:00:00,2784.29,2710.45,2779.94,2723.02,151215212.85480002
2022-02-19 12:00:00,2733.53,2702.02,2723.02,2712.62,75591918.2316
2022-02-19 13:00:00,2749.12,2699.43,2712.62,2744.01,73672600.801
2022-02-19 14:00:00,2745.15,2722.31,2744.01,2729.2,36257948.654
2022-02-19 15:00:00,2752.18,2721.67,2729.2,2746.82,44787285.922000006
2022-02-19 16:00:00,2796.07,2741.65,2746.82,2750.95,124053899.66499999
2022-02-19 17:00:00,2765.91,2742.64,2750.95,2763.83,56550352.4568
2022-02-19 18:00:00,2763.83,2747.01,2763.83,2751.6,49743683.882
2022-02-19 19:00:00,2753.25,2740.67,2751.6,2744.14,40646581.782800004
2022-02-19 20:00:00,2761.09,2740.61,2744.14,2758.81,27562475.7707
2022-02-19 21:00:00,2759.61,2736.95,2758.81,2741.53,28681543.380100004
2022-02-19 22:00:00,2748.69,2729.07,2741.53,2744.28,27015297.5912
